country,year,Fd1y,B1_R_B,B2_R_B,B3_R_B,B4_R_B,B6_R_B,B7_R_B,B8_R_B,L0g0y
124,1877,-0.03941397,0,0,0,1,0,0,0,0.064860635
124,1878,0.091190241,0,0,0,1,0,0,0,-0.03941397
124,1879,0.044850565,0,0,0,0,0,0,0,0.091190241
124,1880,0.131336,0,0,0,0,0,0,0,0.044850565
124,1881,0.045120437,0,0,0,0,1,0,0,0.131336
124,1882,0.003669729,0,0,0,0,0,0,0,0.045120437
124,1883,0.077503562,0,0,0,0,0,0,0,0.003669729
124,1884,-0.062957853,0,0,0,0,0,0,0,0.077503562
124,1885,0.010772097,0,0,0,0,1,0,0,-0.062957853
124,1886,0.031637084,0,0,0,0,0,0,0,0.010772097
124,1887,0.070145607,0,0,0,0,0,0,0,0.031637084
124,1888,0.00643089,0,0,0,0,0,0,0,0.070145607
124,1889,0.071127348,0,0,0,0,0,0,0,0.00643089
124,1890,0.023599915,0,0,0,0,0,0,0,0.071127348
124,1891,-0.00584797,0,0,0,0,0,0,0,0.023599915
124,1892,-0.00588237,0,0,0,0,0,0,0,-0.00584797
124,1893,0.046117682,0,0,0,0,0,0,0,-0.00588237
124,1894,-0.011331566,0,0,0,0,0,0,0,0.046117682
124,1895,-0.025975486,0,0,0,1,0,0,0,-0.011331566
124,1896,0.10272547,0,0,0,1,0,0,0,-0.025975486
124,1897,0.03881463,0,0,0,0,0,0,0,0.10272547
124,1898,0.089757189,0,0,0,0,0,0,0,0.03881463
124,1899,0.054189458,0,0,0,0,0,0,0,0.089757189
124,1900,0.076146647,0,0,0,1,0,0,0,0.054189458
124,1901,0.093271442,0,0,0,0,0,0,0,0.076146647
124,1902,0.029252542,0,0,0,0,0,0,0,0.093271442
124,1903,0.014311515,0,0,0,1,0,0,0,0.029252542
124,1904,0.11085163,0,0,0,0,0,0,0,0.014311515
124,1905,0.0954547,0,0,0,0,0,0,0,0.11085163
124,1906,0.056194559,0,0,0,0,0,0,0,0.0954547
124,1907,-0.048995104,0,0,0,1,0,0,0,0.056194559
124,1908,0.10090296,0,0,0,0,0,0,0,-0.048995104
124,1909,0.0821357,0,0,0,0,0,0,0,0.10090296
124,1910,0.065881707,0,0,0,0,0,0,0,0.0821357
124,1923,0.015066198,0,0,0,0,0,0,0,0.057604991
124,1924,0.10377037,0,0,0,0,0,0,0,0.015066198
124,1925,0.052514214,0,0,0,0,0,0,0,0.10377037
124,1926,0.094510503,0,0,0,0,0,0,0,0.052514214
124,1927,0.085009374,0,0,0,0,0,1,0,0.094510503
124,1928,-0.001336899,0,0,0,0,1,0,0,0.085009374
124,1929,-0.034016885,0,0,1,0,0,0,0,-0.001336899
124,1930,-0.16762047,0,0,0,1,0,0,0,-0.034016885
124,1931,-0.073856212,0,0,0,1,0,0,0,-0.16762047
124,1932,-0.074040204,0,0,1,0,0,0,0,-0.073856212
